location,date,new_deaths,Total deaths month wise,
United States,22-01-2020,,0,Jan-20
United States,23-01-2020,,1,Feb-20
United States,24-01-2020,,4285,Mar-20
United States,25-01-2020,,60922,Apr-20
United States,26-01-2020,,41572,May-20
United States,27-01-2020,,19762,Jun-20
United States,28-01-2020,,26545,Jul-20
United States,29-01-2020,,29649,Aug-20
United States,30-01-2020,,23377,Sep-20
United States,31-01-2020,,24512,Oct-20
United States,01-02-2020,,39296,Nov-20
United States,02-02-2020,,81204,Dec-20
United States,03-02-2020,,97210,Jan-21
United States,04-02-2020,,65615,Feb-21
United States,05-02-2020,,37499,Mar-21
United States,06-02-2020,,23783,Apr-21
United States,07-02-2020,,,
United States,08-02-2020,,,
United States,09-02-2020,,,
United States,10-02-2020,,,
United States,11-02-2020,,,
United States,12-02-2020,,,
United States,13-02-2020,,,
United States,14-02-2020,,,
United States,15-02-2020,,,
United States,16-02-2020,,,
United States,17-02-2020,,,
United States,18-02-2020,,,
United States,19-02-2020,,,
United States,20-02-2020,,,
United States,21-02-2020,,,
United States,22-02-2020,,,
United States,23-02-2020,,,
United States,24-02-2020,,,
United States,25-02-2020,,,
United States,26-02-2020,,,
United States,27-02-2020,,,
United States,28-02-2020,,,
United States,29-02-2020,1,,
United States,01-03-2020,0,,
United States,02-03-2020,5,,
United States,03-03-2020,1,,
United States,04-03-2020,4,,
United States,05-03-2020,1,,
United States,06-03-2020,2,,
United States,07-03-2020,3,,
United States,08-03-2020,4,,
United States,09-03-2020,1,,
United States,10-03-2020,6,,
United States,11-03-2020,5,,
United States,12-03-2020,10,,
United States,13-03-2020,8,,
United States,14-03-2020,7,,
United States,15-03-2020,12,,
United States,16-03-2020,27,,
United States,17-03-2020,37,,
United States,18-03-2020,60,,
United States,19-03-2020,72,,
United States,20-03-2020,106,,
United States,21-03-2020,103,,
United States,22-03-2020,124,,
United States,23-03-2020,191,,
United States,24-03-2020,243,,
United States,25-03-2020,334,,
United States,26-03-2020,418,,
United States,27-03-2020,522,,
United States,28-03-2020,650,,
United States,29-03-2020,616,,
United States,30-03-2020,713,,
United States,31-03-2020,1085,,
United States,01-04-2020,1284,,
United States,02-04-2020,1514,,
United States,03-04-2020,1429,,
United States,04-04-2020,1568,,
United States,05-04-2020,1615,,
United States,06-04-2020,1772,,
United States,07-04-2020,2573,,
United States,08-04-2020,2161,,
